State,Jan.,Feb.,Mar.,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,6.0,5.8,5.7,5.8,6.1,6.1,6.2,6.2,6.0,5.9,6.0,6.2
Alaska,6.3,6.3,6.5,6.7,6.8,6.8,6.7,6.6,6.4,6.4,6.4,6.5
Arizona,6.6,6.5,6.2,6.0,5.8,5.9,6.1,6.3,6.3,6.1,6.0,5.8
Arkansas,5.6,5.5,5.6,5.7,5.7,5.7,5.6,5.4,5.2,5.1,5.0,4.8
California,6.9,6.7,6.5,6.3,6.4,6.3,6.2,6.1,5.9,5.8,5.7,5.8
Colorado,4.2,4.2,4.2,4.2,4.3,4.4,4.3,4.2,4.0,3.8,3.6,3.5
Connecticut,6.3,6.4,6.4,6.3,6.0,5.7,5.4,5.3,5.2,5.1,5.1,5.2
Delaware,5.0,4.8,4.6,4.5,4.6,4.7,4.7,4.9,4.9,5.1,5.1,5.0
D.C.,7.7,7.8,7.7,7.5,7.3,7.0,6.8,6.8,6.7,6.6,6.6,6.6
Florida,5.7,5.6,5.7,5.6,5.7,5.5,5.4,5.3,5.2,5.1,5.0,5.0
Georgia,6.4,6.3,6.3,6.3,6.3,6.1,6.0,5.9,5.8,5.7,5.6,5.5
Hawaii,4.1,4.1,4.1,4.1,4.1,4.0,3.7,3.5,3.4,3.3,3.2,3.2
Idaho,4.1,3.9,3.8,3.8,3.9,4.0,4.1,4.2,4.2,4.0,3.9,3.9
Illinois,6.1,6.0,6.0,6.0,6.0,5.9,5.8,5.6,5.4,5.4,5.7,5.9
Indiana,6.0,5.9,5.8,5.4,5.1,4.9,4.7,4.6,4.5,4.4,4.4,4.4
Iowa,4.2,4.1,4.0,3.8,3.8,3.7,3.8,3.7,3.6,3.5,3.4,3.4
Kansas,4.2,4.2,4.2,4.3,4.4,4.5,4.6,4.6,4.4,4.1,4.0,3.9
Kentucky,5.5,5.2,5.1,5.0,5.1,5.1,5.2,5.2,5.0,4.9,4.9,5.3
Louisiana,7.0,6.7,6.6,6.6,6.6,6.4,6.2,6.0,6.0,6.2,6.3,6.1
Maine,5.2,5.0,4.8,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.1,4.0
Maryland,5.5,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.1,5.2,5.1
Massachusetts,5.1,4.9,4.8,4.7,4.6,4.6,4.7,4.7,4.6,4.6,4.7,4.7
Michigan,6.3,5.9,5.6,5.4,5.5,5.5,5.3,5.1,5.0,5.0,5.1,5.1
Minnesota,3.7,3.7,3.7,3.7,3.8,3.9,4.0,4.0,3.8,3.7,3.5,3.5
Mississippi,7.1,7.0,6.8,6.6,6.7,6.6,6.5,6.3,6.1,5.9,6.0,6.4
Missouri,5.5,5.5,5.6,5.7,5.8,5.8,5.8,5.6,5.3,5.0,4.7,4.4
Montana,4.4,4.3,4.1,4.0,3.9,3.9,4.0,4.1,4.1,4.1,4.0,4.0
Nebraska,2.9,2.7,2.6,2.5,2.6,2.6,2.7,2.8,2.9,2.9,2.9,2.9
Nevada,7.1,7.1,7.1,7.1,7.0,6.9,6.8,6.8,6.7,6.6,6.5,6.4
New Hampshire,4.0,3.9,3.9,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3.1
New Jersey,6.3,6.4,6.5,6.5,6.5,6.1,5.9,5.7,5.6,5.4,5.3,5.1
