,year,state_name,rape_legacy,rape_revised,robbery,property_crime,burglary,larceny,motor_vehicle_theft,before_rape_legacy,before_rape_revised,before_robbery,before_property_crime,before_burglary,before_larceny,before_motor_vehicle_theft,after_rape_legacy,after_rape_revised,after_robbery,after_property_crime,after_burglary,after_larceny,after_motor_vehicle_theft
0,2013,Rhode Island,333.0,449.0,683,25741,5621,17881,2239,292.0,2105.0882352941176,715,27039,5929,18478,2632,264.0,366.0,530,22982,4830,16317,1835
0,2014,South Carolina,1522.0,2185.0,4018,168281,37163,118173,12945,1739.0,2233.0,3965,173261,40930,119730,12601,1717.0,2439.0,3950,162830,34942,114778,13110
0,2013,Tennessee,1904.0,2500.0,7333,207683,51334,144443,11906,2047.0,2105.0882352941176,8151,217925,56231,148731,12963,1870.0,2595.0,7268,200911,46798,141464,12649
0,2014,Texas,8400.0,11636.0,31021,813515,168085,577018,68412,7610.0,10456.0,31810,862289,191062,605440,65787,8941.0,12323.0,31924,779234,153067,558653,67514
0,2014,Utah,1114.0,1547.0,1313,85473,11656,66487,7330,926.0,1522.0,1247,88334,13727,67115,7492,1247.0,1704.0,1329,89797,12606,68464,8727
0,2017,Vermont,1805.340909090909,254.0,100,9339,1945,7169,225,120.0,170.0,78,9705,1884,7637,184,1977.3684210526317,326.0,73,8211,1496,6451,264
0,2014,Virginia,1687.0,2416.0,4294,161934,23210,131001,7723,1476.0,2350.0,4574,171558,26717,136215,8626,1767.0,2499.0,4459,157803,21542,128064,8197
0,2011,Washington,2320.0,2061.5365853658536,5627,244209,56561,162828,24820,2579.0,2105.0882352941176,5929,249426,55192,168490,25744,2250.0,2141.282608695652,5801,254377,61376,166338,26663
0,2016,West Virginia,488.0,684.0,720,37282,9127,25657,2498,493.0,710.0,783,38694,9467,26984,2243,1977.3684210526317,793.0,673,32560,7557,21917,3086
0,2014,Wisconsin,1216.0,1677.0,5101,120535,21375,89255,9905,1308.0,1836.0,4834,125694,24358,93946,7390,1324.0,1805.0,5234,114171,19602,83572,10997
0,2017,Wyoming,1805.340909090909,253.0,98,10528,1556,8211,761,152.0,206.0,59,11460,1771,8889,800,1977.3684210526317,261.0,75,10308,1551,7974,783
