State,Jan.,Feb.,Mar.,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Mississippi,8.7,9.1,9.4,9.1,9.6,9.0,9.7,9.5,9.2,9.8,9.6,10.6
Missouri,8.0,8.3,8.7,8.1,9.0,9.3,9.3,9.5,9.5,9.3,9.5,9.6
Montana,5.6,6.0,6.1,6.0,6.3,6.4,6.7,6.6,6.7,6.4,6.4,6.7
Nebraska,4.3,4.2,4.6,4.4,4.4,5.0,4.9,5.0,4.9,4.9,4.5,4.7
Nevada,9.4,10.1,10.4,10.6,11.3,12.0,12.5,13.2,13.3,13.0,12.3,13.0
New Hampshire,5.1,5.3,6.2,6.3,6.5,6.8,6.8,6.9,7.2,6.8,6.7,7.0
New Jersey,7.3,8.2,8.3,8.4,8.8,9.2,9.3,9.7,9.8,9.7,9.7,10.1
New Mexico,5.1,5.4,5.9,5.8,6.5,6.8,7.0,7.5,7.7,7.9,7.8,8.3
New York,7.0,7.8,7.8,7.7,8.2,8.7,8.6,9.0,8.9,9.0,8.6,9.0
North Carolina,9.7,10.7,10.8,10.8,11.1,11.0,11.0,10.8,10.8,11.0,10.8,11.2
North Dakota,4.2,4.3,4.2,4.0,4.4,4.2,4.2,4.3,4.2,4.2,4.1,4.4
Ohio,8.8,9.4,9.7,10.2,10.8,11.1,11.2,10.8,10.1,10.5,10.6,10.9
Oklahoma,5.0,5.5,5.9,6.2,6.3,6.3,6.5,6.8,6.7,7.1,7.0,6.6
Oregon,9.9,10.8,12.1,12.0,12.4,12.2,11.9,12.2,11.5,11.3,11.1,11.0
Pennsylvania,7.0,7.5,7.8,7.8,8.2,8.3,8.5,8.6,8.8,8.8,8.5,8.9
Puerto Rico,13.0,14.3,15.0,15.4,14.4,14.5,15.5,15.1,16.2,15.6,15.9,15.0
Rhode Island,10.3,10.5,10.5,11.1,12.1,12.4,12.7,12.8,13.0,12.9,12.7,12.9
South Carolina,10.4,11.0,11.4,11.5,12.1,12.1,11.8,11.5,11.6,12.1,12.3,12.6
South Dakota,4.4,4.6,4.9,4.8,5.0,5.1,4.9,4.9,4.8,5.0,5.0,4.7
Tennessee,8.6,9.1,9.6,9.9,10.7,10.8,10.7,10.8,10.5,10.5,10.3,10.9
Texas,6.4,6.5,6.7,6.7,7.1,7.5,7.9,8.0,8.2,8.3,8.0,8.3
Utah,4.6,5.1,5.2,5.2,5.4,5.7,6.0,6.0,6.2,6.5,6.3,6.7
Vermont,6.8,7.0,7.2,7.1,7.3,7.1,6.8,6.8,6.7,6.5,6.4,6.9
Virginia,6.0,6.6,6.8,6.8,7.1,7.2,6.9,6.5,6.7,6.6,6.6,6.9
Washington,7.8,8.4,9.2,9.1,9.4,9.3,9.1,9.2,9.3,9.3,9.2,9.5
West Virginia,5.3,6.0,6.9,7.5,8.6,9.2,9.0,9.0,8.9,8.5,8.4,9.1
Wisconsin,6.9,7.7,8.5,8.6,8.9,9.0,9.0,8.8,8.3,8.4,8.2,8.7
Wyoming,3.7,3.9,4.5,4.5,5.0,5.9,6.5,6.6,6.8,7.4,7.2,7.5
Source: Bureau of Labor Statistics,,,,,,,,,,,,
